,F0,F1,F2,F3,F4,F5,Label
0,0.3484615184,0.3131631755,-0.8830807143,0.0117054191,0.021840851,0.0075989088,0
1,0.3771182571,0.3029586612,-0.8751426408,0.0055161876,0.0094582019,0.0018255535,1
2,0.3626216335,0.3068695817,-0.87993949,0.0014261526,0.0059964406,0.0022572384,1
3,0.3600247291,0.2823916016,-0.8889768685,0.0047883841,0.0173485375,0.005781224,1
4,0.3612345139,0.2803169602,-0.8893017968,0.0032007281,0.0073809069,0.0031003405,1
5,0.3614599402,0.2790439004,-0.8896126414,0.0025056534,0.0074344134,0.0029953059,1
6,0.3626176175,0.2798596335,-0.88888149,0.0022455437,0.0078959222,0.003056937,1
7,0.3615531873,0.2775859363,-0.8900427769,0.0023357583,0.0060646929,0.0026443077,1
8,0.3616038924,0.2766573068,-0.8903134104,0.0017754369,0.0060649458,0.0023454984,1
9,0.2966739562,0.2338203825,-0.9078018566,0.1387719325,0.1098696167,0.0433520049,0
10,0.3605080717,0.288307757,-0.8870003227,0.0077146062,0.0085338071,0.003260161,1
11,0.3502454024,0.2942606375,-0.8873051076,0.0445904765,0.0351073491,0.0144087671,0
12,0.0944133705,0.0791510438,-0.9687253147,0.1598979372,0.1341653574,0.0531488677,0
13,0.0144466574,0.013209255,-0.995383004,0.0674888559,0.0617170427,0.0215812231,0
14,0.0397832789,0.037386749,-0.9862581673,0.1101793878,0.1035305356,0.0381613711,0
15,0.0143930159,0.0137077211,-0.9952268247,0.0672852366,0.0640440353,0.0223510569,0
16,0.320810753,0.3211442191,-0.8910193665,0.0015829861,0.0050429564,0.0018340386,1
17,0.3244664303,0.320520239,-0.8899092988,0.0029573992,0.0058701438,0.0025670897,1
18,0.3275939283,0.3195462709,-0.8891212669,0.00123166,0.0055106319,0.0019651553,1
19,0.3305942869,0.3160689323,-0.8892549124,0.0009124317,0.0053440053,0.0020201633,1
20,0.3294348207,0.3146337092,-0.8902016733,0.0011927443,0.0039108708,0.0016155897,1
21,0.3288024064,0.3198692789,-0.8885618685,0.0010858717,0.0050088262,0.0020375193,1
22,0.3255687131,0.3133164263,-0.8920685896,0.0027316492,0.0059448799,0.0029313476,1
23,0.3250662749,0.311155745,-0.8930242151,0.0013053035,0.0040953821,0.0018176859,1
24,0.3268478008,0.3145326255,-0.8911770279,0.0008157904,0.0060833227,0.0023528442,1
25,0.326612996,0.3124371394,-0.8920122311,0.0011174671,0.0041239353,0.0017072774,1
26,0.3268112271,0.311350251,-0.8923121912,0.0014287886,0.0052258452,0.0022465512,1
27,0.328613761,0.3156330199,-0.8901427968,0.0010020658,0.0053752202,0.0021574382,1
28,0.329455255,0.3138020996,-0.8904619044,0.0034429149,0.0065325922,0.0032492954,1
29,0.3273446653,0.3126326215,-0.8916640598,0.0030467477,0.0050590262,0.0025735139,1
30,0.3275734741,0.3144114622,-0.89095649,0.0021432193,0.0051865713,0.0024717442,0
31,0.3270171155,0.309677745,-0.8928188088,0.0025316461,0.0047924062,0.0021612651,1
32,0.315658255,0.3010898127,-0.899754247,0.007106027,0.0085965335,0.0047700608,1
33,0.3177088845,0.3057648327,-0.8975212351,0.0016612246,0.0042755367,0.0018735616,1
34,0.3168652351,0.3068880478,-0.8974306614,0.0014234946,0.005262842,0.0021515532,1
35,0.3197487012,0.3088798247,-0.8956864861,0.0058662922,0.0069805733,0.0040717701,1
36,0.3255272151,0.3081148566,-0.8939142988,0.0010640502,0.0033785568,0.0013788085,1
37,0.3274834263,0.3065052072,-0.8937517849,0.0015226059,0.0034267306,0.0016809245,1
38,0.3268043068,0.3051290398,-0.894466502,0.0019578844,0.004130262,0.0019951291,1
39,0.3252895179,0.3012049004,-0.8963444502,0.0028738532,0.0039761896,0.0022182005,1
40,0.3286427928,0.3062683984,-0.8933787809,0.0044790152,0.005908116,0.0036021812,1
41,0.3288133227,0.3069483307,-0.8930949402,0.002955344,0.0053940909,0.0028467399,1
42,0.3280463426,0.3044696494,-0.8942174661,0.0038917508,0.0057392935,0.003289869,1
43,0.331181745,0.3076915538,-0.8919591594,0.0029171558,0.0059776188,0.0030295473,1
44,0.3322455498,0.3057436255,-0.8922438884,0.0019926232,0.005014287,0.0023385378,1
45,0.332852259,0.3084991713,-0.8910826813,0.0013151669,0.0025009652,0.0011327501,1
46,0.334090502,0.3132128486,-0.8889206574,0.0020191895,0.0090446544,0.0039276004,1
47,0.3343628526,0.3121936454,-0.889209494,0.0014866199,0.0060184886,0.002144158,1
48,0.3332976773,0.3071908406,-0.8913654422,0.001433248,0.0032830174,0.0010981348,1
49,0.3342717052,0.3089329363,-0.8903983665,0.0011200767,0.0031895251,0.0014521636,1
50,0.3328255418,0.3025448805,-0.893130761,0.0009019871,0.0030147306,0.0011441479,1
51,0.3331281195,0.3051995259,-0.8921058008,0.002454628,0.0039350507,0.0021505062,1
52,0.3338641873,0.306211008,-0.8914882072,0.0015701169,0.0036570136,0.0015760289,1
53,0.3328821474,0.3024265139,-0.8931454502,0.00234981,0.0034115007,0.0013221565,1
54,0.0406378247,0.0377390956,-0.9857804303,0.1124645581,0.104657691,0.039493748,0
55,0.0055797968,0.0053115458,-0.9980137211,0.0438475068,0.0417477005,0.0156138686,0
56,0.0038482789,0.0038998367,-0.9986586414,0.0352261545,0.0354709967,0.0123218083,0
57,0.0028110837,0.0026392869,-0.9990045458,0.0313744502,0.0294491719,0.0111103273,0
58,0.1704788685,0.1622936135,-0.9432246733,0.1653383529,0.1567003573,0.055074141,0
59,0.3166890677,0.312496992,-0.8955683108,0.001263677,0.0028303844,0.0012037423,1
60,0.3181899124,0.3156213546,-0.8939181713,0.0015190551,0.0063099302,0.002549343,1
61,0.3185612829,0.3165526853,-0.8934687649,0.0013706215,0.0046074827,0.001896723,1
62,0.3191315578,0.3148571873,-0.8938480797,0.0016905039,0.0067463852,0.002686573,1
63,0.3181528367,0.3099585896,-0.895922506,0.0014299593,0.0046647218,0.0018636474,1
64,0.320397247,0.307671502,-0.8959123466,0.0019238859,0.0043656534,0.0014614373,1
65,0.3233107331,0.3097698446,-0.8940648327,0.0098925112,0.0071522143,0.0034435907,0
66,0.3201551275,0.3126476534,-0.8942654861,0.0011861753,0.0058558947,0.0023822508,1
67,0.3200621514,0.3107355936,-0.8949851116,0.0011303184,0.001833406,0.0008299163,1
68,0.3191661833,0.3111703147,-0.8951544661,0.0009794017,0.0017222005,0.000752631,1
69,0.3187856653,0.3105814263,-0.8954783108,0.0014280788,0.0051780732,0.0021781683,1
70,0.3194719402,0.3131759363,-0.8943395817,0.0012353744,0.0034126808,0.0014412162,1
71,0.3196328685,0.3122138845,-0.8946169084,0.0012540606,0.0037488594,0.0015146536,1
72,0.3196966574,0.3110155498,-0.8950183108,0.0009569629,0.001998514,0.0008198791,1
73,0.3194278805,0.3117081992,-0.894867988,0.0012592395,0.0034061684,0.0013714496,1
74,0.3207424542,0.3067123068,-0.8961172908,0.001522708,0.0044887617,0.0017817905,1
75,0.3100314861,0.3105303785,-0.8985477649,0.006686555,0.0038664041,0.0018873655,1
76,0.307683996,0.3096756175,-0.8996830518,0.0006568204,0.0011253097,0.000510983,1
77,0.3079684183,0.3126462072,-0.8985511076,0.0007225953,0.0033567388,0.0013658718,1
78,0.3085704024,0.3139969243,-0.8978758127,0.0006006543,0.00278644,0.001071339,1
79,0.3050706096,0.305204992,-0.9020204422,0.0044056695,0.0100483954,0.004540222,1
80,0.2997109402,0.3096533705,-0.9023472072,0.00458988,0.0055713579,0.0023706838,1
81,0.3038385378,0.3071800199,-0.9018395657,0.0012008909,0.0023415486,0.0010418602,1
82,0.3043620359,0.3067406335,-0.9017859402,0.0027016912,0.0064278844,0.0027259962,0
83,0.307412251,0.3109004104,-0.8993238884,0.0015042756,0.006786184,0.0026237618,1
84,0.307271988,0.3131609602,-0.898595255,0.0015388274,0.0056987524,0.002431881,1
85,0.307576259,0.3135910398,-0.8983536454,0.0009531968,0.0038588811,0.0015530506,1
86,0.3064733546,0.3116044422,-0.8994268446,0.0014302468,0.0022330926,0.0010564279,1
87,0.2434386614,0.2417878048,-0.9210129721,0.1274838578,0.1266712566,0.0413954987,1
88,0.3106001434,0.3088539761,-0.8989482351,0.0021148513,0.0045186635,0.0019885075,1
89,0.3093557809,0.3093098845,-0.8992292988,0.0016916408,0.002817596,0.0015008538,1
90,0.3095996853,0.310069757,-0.8988858287,0.0006843482,0.0027353359,0.0010670746,1
91,0.3085350876,0.3091035498,-0.8995829602,0.00092093,0.0030380377,0.0012309845,1
92,0.3097956534,0.3128641275,-0.8978427131,0.0011563062,0.0041192301,0.0016800581,1
93,0.3106964223,0.3104647769,-0.8983448367,0.003979426,0.0058409143,0.0024477113,1
94,0.3071535697,0.3020230717,-0.9024136414,0.0047937864,0.0072714103,0.0035320994,1
95,0.31049251,0.3023159323,-0.9012168167,0.0012193017,0.0023076092,0.0009671529,1
96,0.3098636932,0.3063941753,-0.9000538645,0.0008217801,0.0028773397,0.0011044655,1
97,0.3107374661,0.3099165299,-0.898537757,0.0011349277,0.0045142946,0.0014730653,1
98,0.3097587211,0.3037967968,-0.9009527052,0.0012218594,0.0058876528,0.0022604137,1
99,0.2965369124,0.2880005259,-0.9027705498,0.0828316774,0.0806555491,0.0275759455,0
100,0.3255067729,0.2868310598,-0.9004963785,0.0169182067,0.0213495435,0.0117276652,0
101,0.3011212669,0.2809735538,-0.9005565339,0.0993071691,0.0917577039,0.0331119052,0
102,0.334086004,0.3149780956,-0.88834149,0.0017744182,0.0041886538,0.0020152885,0
